algo,n,comparisons,allocations,depth,time
mergesort,10000,128130,1024,10,1
quicksort,10000,0,0,0,1
quicksort,10000,156972,0,8,2
select,10000,19604,35,1,10
closest,10000,245344,2,13,20
mergesort,5000,58891,512,9,1
quicksort,5000,67748,0,8,1
select,5000,10110,30,1,8
closest,5000,112609,2,12,15
closest,1000,17279,2,9,10
select,1000,2129,21,1,6
quicksort,1000,10532,0,6,0
quicksort,1000,12051,0,6,0
mergesort,1000,10286,64,6,0
mergesort,3000,34000,256,8,1
quicksort,3000,39224,0,7,1
select,3000,6144,26,1,7
closest,3000,62513,2,11,13
closest,7000,161713,2,12,17
closest,7000,161788,2,12,17
select,7000,14730,34,1,8
quicksort,7000,102908,0,8,1
mergesort,7000,90296,512,9,1
mergesort,9000,117304,808,10,1
quicksort,9000,140100,0,8,2
select,9000,18065,34,1,8
closest,9000,215457,2,13,19
